id,body_text_nostop
0,"['gare', 'havre', 'gare', 'parisstlazare']"
1,"['gare', 'dieppe', 'gare', 'parisstlazare']"
2,"['gare', 'parisstlazare', 'gare', 'rouenrivedroite']"
3,"['gare', 'cherbourg', 'gare', 'parisstlazare']"
4,"['gare', 'caen', 'gare', 'parisstlazare']"
5,"['gare', 'parisstlazare', 'gare', 'trouvilledeauville']"
6,"['gare', 'granville', 'gare', 'parismontp3vaug']"
7,"['gare', 'granville', 'gare', 'parismontparnasse', '12']"
8,"['gare', 'dreux', 'gare', 'granville']"
9,"['gare', 'bourges', 'gare', 'parisausterlitz']"
10,"['gare', 'parisausterlitz', 'gare', 'vierzon']"
11,"['gare', 'bourges', 'gare', 'parisbercy']"
12,"['gare', 'nevers', 'gare', 'parisausterlitz']"
13,"['gare', 'bourges', 'gare', 'nevers']"
14,"['gare', 'nevers', 'gare', 'parisbercy']"
15,"['gare', 'nevers', 'gare', 'parisgaredelyon']"
16,"['gare', 'argentan', 'gare', 'parismontp3vaug']"
17,"['gare', 'orléans', 'gare', 'parisausterlitz']"
18,"['gare', 'parisausterlitz', 'gare', 'tours']"
19,"['gare', 'orléans', 'gare', 'tours']"
20,"['gare', 'aubraisles', 'gare', 'parisausterlitz']"
21,"['gare', 'parisbercy', 'gare', 'tours']"
22,"['gare', 'orléans', 'gare', 'parisbercy']"
23,"['gare', 'parisausterlitz', 'gare', 'stpierredescorps']"
24,"['gare', 'calais', 'ville', 'gare', 'paris', 'gare', 'nord']"
25,"['gare', 'boulogne', 'ville', 'gare', 'paris', 'gare', 'nord']"
26,"['gare', 'amiens', 'gare', 'calais', 'ville']"
27,"['gare', 'boulogne', 'ville', 'gare', 'calais', 'ville']"
28,"['gare', 'amiens', 'gare', 'boulogne', 'ville']"
29,"['gare', 'amiens', 'gare', 'paris', 'gare', 'nord']"
30,"['gare', 'cambrai', 'ville', 'gare', 'paris', 'gare', 'nord']"
31,"['gare', 'maubeuge', 'gare', 'paris', 'gare', 'nord']"
32,"['gare', 'paris', 'gare', 'nord', 'gare', 'st', 'quentin']"
33,"['gare', 'compiègne', 'gare', 'maubeuge']"
34,"['gare', 'argentan', 'gare', 'dreux']"
35,"['gare', 'caen', 'gare', 'mans']"
36,"['gare', 'caen', 'gare', 'tours']"
37,"['gare', 'mans', 'gare', 'parismontparnasse', '12']"
38,"['gare', 'nogentlerotrou', 'gare', 'parismontparnasse', '12']"
39,"['gare', 'chartres', 'gare', 'parismontparnasse', '12']"
40,"['gare', 'chartres', 'gare', 'mans']"
41,"['gare', 'bloischambord', 'gare', 'tours']"
42,"['gare', 'lyonperrache', 'gare', 'tours']"
43,"['gare', 'lyonperrache', 'gare', 'nevers']"
44,"['gare', 'latourdecarolenveitg', 'gare', 'villefranchevernetlb']"
45,"['gare', 'fontromeuodeillovia', 'gare', 'villefranchevernetlb']"
46,"['gare', 'briançon', 'gare', 'romansbourgdepéage']"
47,"['gare', 'briançon', 'gare', 'veynesdévoluy']"
48,"['gare', 'romansbourgdepéage', 'gare', 'veynesdévoluy']"
49,"['gare', 'gap', 'gare', 'romansbourgdepéage']"
50,"['gare', 'briançon', 'gare', 'gap']"
51,"['gare', 'briançon', 'gare', 'valenceville']"
52,"['gare', 'briançon', 'gare', 'marseillestcharles']"
53,"['gare', 'gap', 'gare', 'marseillestcharles']"
54,"['gare', 'aixenprovence', 'gare', 'marseillestcharles']"
